traded_comp,transaction_num,max_price,min_price,closing_price,traded_shares,traded_amount,pre_closing,diff_rs
10% Nepal SBI Bank Debenture 2086,1,1000.00,1000.00,1000.00,50.00,50000.00,1015.00,-15.00
10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,2,1021.00,1010.00,1021.00,75.00,76025.00,1029.00,-8.00
10.25% KBL Debenture 2086,1,1050.00,1050.00,1050.00,30.00,31500.00,1050.00,0.00
10.25% NIC Asia Debenture 2083/84,1,1023.00,1023.00,1023.00,25.00,25575.00,1023.00,0.00
10.25% Sunrise Bank Debenture 2083,1,1020.00,1020.00,1020.00,50.00,51000.00,1010.00,10.00
Agriculture Development Bank Limited,156,440.00,435.00,439.00,17254.00,7569999.00,436.00,3.00
Ajod Insurance Limited,789,522.00,502.00,518.00,19929.00,10265273.00,507.00,11.00
Ankhu Khola Jalvidhyut Company Ltd,744,132.00,115.00,118.00,25330.00,3087400.00,122.00,-4.00
Api Power Company Ltd.,616,205.00,192.00,194.00,206307.00,40526233.00,200.00,-6.00
Arun Kabeli Power Ltd.,539,245.00,232.00,236.00,214757.00,50928322.00,243.00,-7.00
Arun Valley Hydropower Development Co. Ltd.,924,234.00,211.00,229.00,544570.00,123081612.00,214.00,15.00
Asha Laghubitta Bittiya Sanstha Ltd,70,845.00,830.00,840.00,1645.00,1382330.00,839.00,1.00
Asian Life Insurance Co. Limited,130,742.00,725.00,741.00,29936.00,22030380.00,720.00,21.00
Bank of Kathmandu Ltd.,2145,283.00,265.00,282.00,535005.00,147656039.00,258.00,24.00
Barun Hydropower Co. Ltd.,255,170.00,157.00,157.00,63615.00,10157951.00,165.00,-8.00
Best Finance Company Ltd.,106,141.00,131.00,136.00,24656.00,3298008.00,135.00,1.00
Bottlers Nepal (Terai) Limited,4,6696.00,6581.00,6610.00,66.00,437140.00,6570.00,40.00
Butwal Power Company Limited,288,407.00,396.00,401.00,42918.00,17162302.00,403.00,-2.00
Central Finance Co. Ltd.,42,170.00,156.00,160.00,18113.00,2896432.00,162.00,-2.00
Century Commercial Bank Ltd.,303,192.00,186.00,188.00,111734.00,21168501.00,187.00,1.00
Chhimek Laghubitta Bikas Bank Limited,80,1129.00,1108.00,1122.00,10167.00,11408281.00,1111.00,11.00
Chhyangdi Hydropower Ltd.,125,155.00,142.00,145.00,19971.00,2945028.00,149.00,-4.00
Chilime Hydropower Company Limited,168,514.00,500.00,510.00,39032.00,19781648.00,510.00,0.00
Citizen Bank International Limited,375,215.00,210.00,214.00,110411.00,23517948.00,209.00,5.00
Citizen Investment Trust,126,3500.00,3465.00,3479.00,4919.00,17134216.00,3469.00,10.00
Citizens Mutual Fund -1,30,10.14,9.55,10.11,61800.00,606583.00,9.95,0.16
Civil Bank Ltd,252,177.00,164.00,167.00,100439.00,16840122.00,169.00,-2.00
Civil Laghubitta Bittiya Sanstha Ltd.,22,705.00,687.00,704.00,1445.00,1006444.00,699.00,5.00
Corporate Development Bank Limited,48,183.00,167.00,183.00,6510.00,1171590.00,167.00,16.00
Deprosc Laghubitta Bittiya Sanstha Limited,62,870.00,851.00,865.00,7562.00,6526183.00,855.00,10.00
Dibyashwori Hydropower Ltd.,163,115.00,110.00,115.00,20122.00,2304805.00,105.00,10.00
Everest Bank Limited,108,734.00,720.00,728.00,8997.00,6527618.00,720.00,8.00
Everest Insurance Co. Ltd.,286,560.00,526.00,556.00,45387.00,24844010.00,526.00,30.00
Excel Development Bank Ltd.,49,314.00,307.00,310.00,9460.00,2930597.00,308.00,2.00
First Micro Finance Development Bank Ltd.,161,589.00,570.00,586.00,28624.00,16643604.00,573.00,13.00
Forward Community Microfinance Bittiya Sanstha Ltd.,30,1570.00,1545.00,1563.00,1395.00,2171642.00,1554.00,9.00
Ganapati Microfinance Bittiya Sanstha Limited,47,840.00,805.00,837.00,1065.00,874639.00,812.00,25.00
Garima Bikas Bank Limited,275,255.00,246.00,252.00,62932.00,15854530.00,246.00,6.00
Ghalemdi Hydro Limited,449,134.00,118.00,123.00,18391.00,2369344.00,122.00,1.00
Ghodighoda Laghubitta Bittiya Sanstha Ltd.,20,800.00,785.00,793.00,340.00,269160.00,797.00,-4.00
Global IME Bank Limited,495,272.00,265.00,272.00,106995.00,28860825.00,265.00,7.00
Global IME Laghubitta Bittiya Sanstha Ltd.,34,1200.00,1182.00,1190.00,1696.00,2024868.00,1164.00,26.00
Global IME Samunnat Scheme-1,14,9.44,9.20,9.34,46018.00,430557.40,9.26,0.08
Goodwill Finance Co. Ltd.,58,186.00,181.00,185.00,15585.00,2856721.00,183.00,2.00
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,157,536.00,518.00,533.00,9688.00,5152251.00,520.00,13.00
Green Development Bank Ltd.,222,152.00,138.00,149.00,35055.00,5184669.00,139.00,10.00
Guheshowori Merchant Bank & Finance Co. Ltd.,43,166.00,159.00,163.00,11386.00,1839544.00,163.00,0.00
Gurans Laghubitta Bittiya Sanstha Limited,30,750.00,726.00,746.00,710.00,523430.00,740.00,6.00
Gurans Life Insurance Company Ltd.,182,636.00,613.00,636.00,28461.00,17876728.00,611.00,25.00
Gurkhas Finance Ltd.,84,145.00,140.00,142.00,51717.00,7310378.00,138.00,4.00
Himal Dolakha Hydropower Company Limited,1104,142.00,123.00,125.00,360149.00,47058118.00,130.00,-5.00
Himalaya Urja Bikas Company Limited,339,161.00,147.00,147.00,23647.00,3574785.00,157.00,-10.00
Himalayan Bank Limited,67,567.00,559.00,565.00,6860.00,3867897.00,556.00,9.00
Himalayan Distillery Limited,91,1825.00,1782.00,1820.00,10138.00,18318250.00,1774.00,46.00
Himalayan General Insurance Co. Ltd,271,529.00,505.00,526.00,50637.00,26215577.00,500.00,26.00
Himalayan Power Partner Ltd.,301,200.00,195.00,195.00,13037.00,2568410.00,203.00,-8.00
Hydorelectricity Investment and Development Company Ltd,400,180.00,172.00,174.00,137147.00,24015372.00,178.00,-4.00
ICFC Finance Limited,93,204.00,197.00,200.00,26367.00,5277026.00,197.00,3.00
IME General Insurance Ltd.,48,559.00,532.00,557.00,7298.00,4020028.00,537.00,20.00
Infinity Laghubitta Bittiya Sanstha Limited,83,836.00,805.00,824.00,918.00,750715.00,820.00,4.00
Janaki Finance Ltd.,59,203.00,198.00,200.00,15967.00,3206544.00,200.00,0.00
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,25,1365.00,1352.00,1354.00,919.00,1246590.00,1373.00,-19.00
Joshi Hydropower Development Company Ltd,672,133.00,118.00,119.00,40465.00,5087747.00,121.00,-2.00
Jyoti Bikas Bank Limited,543,192.00,184.00,192.00,163647.00,30910386.00,184.00,8.00
Kalika Microcredit Development Bank Ltd.,93,748.00,731.00,735.00,3839.00,2828055.00,734.00,1.00
Kalika power Company Ltd,478,172.00,161.00,161.00,24620.00,4037890.00,169.00,-8.00
